,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
07/31/2015 00:00:00,0,4.6875,4.6875,1.5625,2.734375,45,45,43,45,46,4090.52734,4090.52734,4090.52734,4090.52734,41.8589478,19.3924732,2.5701673,2.57809687,99.76896
07/31/2015 00:00:01,10.9375,9.375,10.9375,3.125,8.59375,45,45,44,45,47,4090.529,4090.529,4090.529,4090.529,43.2204781,21.5928612,2.47477961,2.57049775,99.7690048
07/31/2015 00:00:02,4.6875,1.5625,1.5625,1.5625,2.34375,45,44,43,45,45,4090.52734,4090.52734,4090.52734,4090.52734,40.0072136,16.272171,2.74962735,2.51838255,99.76896
07/31/2015 00:00:03,0,0,0,0,0,44,45,44,45,46,4090.52881,4090.52881,4090.52881,4090.52881,39.6796265,15.8398333,2.7588172,2.493246,99.769
07/31/2015 00:00:04,0,0,0,0,0,44,45,43,45,45,4090.528,4090.528,4090.528,4090.528,39.65664,15.7681074,2.76847219,2.50666618,99.7689743
07/31/2015 00:00:05,0,1.5625,0,0,0.390625,46,45,45,46,46,4090.52856,4090.52856,4090.52856,4090.52856,39.389492,15.3270664,2.827284,2.49105859,99.76899
07/31/2015 00:00:06,0,0,0,0,0,46,44,43,44,46,4090.52783,4090.52783,4090.52783,4090.52783,39.6505356,15.759923,2.782228,2.50735569,99.7689743
07/31/2015 00:00:07,0,0,0,1.5625,0.390625,43,45,44,45,45,4090.52856,4090.52856,4090.52856,4090.52856,39.4378166,15.43747,2.80467153,2.49104452,99.76899
07/31/2015 00:00:08,1.5625,0,1.5625,1.5625,1.171875,45,46,43,45,46,4090.52881,4090.52881,4090.52881,4090.52881,39.64729,15.7552853,2.79729986,2.51167583,99.769
07/31/2015 00:00:09,0,0,0,0,0,43,45,43,45,45,4090.52881,4090.52881,4090.52881,4090.52881,39.4202461,15.357048,2.77776527,2.50483084,99.769
07/31/2015 00:00:10,0,0,0,0,0,44,44,44,45,45,4090.52686,4090.52686,4090.52686,4090.52686,39.70432,15.7579737,2.76957226,2.51286864,99.76895
07/31/2015 00:00:11,0,0,0,1.5625,0.390625,45,45,43,44,45,4090.5293,4090.5293,4090.5293,4090.5293,39.4712524,15.46013,2.79068446,2.49595118,99.76901
07/31/2015 00:00:12,1.5625,1.5625,0,1.5625,1.171875,43,44,44,44,45,4090.52734,4090.52734,4090.52734,4090.52734,39.60995,15.7230291,2.75606751,2.50504732,99.76896
07/31/2015 00:00:13,0,0,0,0,0,44,45,43,45,45,4090.52881,4090.52881,4090.52881,4090.52881,39.460537,15.4426126,2.759165,2.495045,99.769
07/31/2015 00:00:14,0,0,0,0,0,42,45,44,45,45,4090.528,4090.528,4090.528,4090.528,39.62448,15.687295,2.75419545,2.50319815,99.7689743
07/31/2015 00:00:15,0,0,0,0,0,44,45,43,45,46,4090.52832,4090.52832,4090.52832,4090.52832,39.4540939,15.5621691,2.73378563,2.49644518,99.76898
07/31/2015 00:00:16,0,0,0,0,0,43,45,43,45,45,4090.528,4090.528,4090.528,4090.528,39.58271,15.7276487,2.71567559,2.50076079,99.7689743
07/31/2015 00:00:17,1.5625,0,0,3.125,1.171875,43,45,44,44,45,4090.529,4090.529,4090.529,4090.529,39.5921173,15.8014345,2.691922,2.495946,99.7690048
07/31/2015 00:00:18,1.5625,3.125,0,1.5625,1.5625,43,45,43,44,46,4090.52832,4090.52832,4090.52832,4090.52832,40.5187263,17.2801838,2.648248,2.53701663,99.76898
07/31/2015 00:00:19,1.5625,0,1.5625,0,0.78125,45,44,43,44,45,4090.52783,4090.52783,4090.52783,4090.52783,39.99603,16.388382,2.68834782,2.5117445,99.7689743
07/31/2015 00:00:20,0,0,0,1.5625,0.390625,44,44,43,44,45,4090.52881,4090.52881,4090.52881,4090.52881,39.82794,16.067709,2.69063878,2.51670241,99.769
07/31/2015 00:00:21,0,0,0,0,0,43,44,42,44,45,4090.52783,4090.52783,4090.52783,4090.52783,39.433815,15.3892841,2.72414255,2.49234462,99.76897
07/31/2015 00:00:22,0,0,0,0,0,44,44,43,45,45,4090.52734,4090.52734,4090.52734,4090.52734,39.85819,16.1075211,2.691964,2.51527667,99.76896
07/31/2015 00:00:23,0,0,1.5625,3.125,1.171875,43,45,44,43,45,4090.52881,4090.52881,4090.52881,4090.52881,39.8904381,16.1071281,2.70516539,2.51218271,99.769
07/31/2015 00:00:24,0,1.5625,0,1.5625,0.78125,44,45,42,44,45,4090.52856,4090.52856,4090.52856,4090.52856,40.15107,16.6172733,2.678273,2.524849,99.76899
07/31/2015 00:00:25,0,1.5625,0,0,0.390625,44,44,43,44,45,4090.52856,4090.52856,4090.52856,4090.52856,39.9820328,16.4394417,2.64791155,2.51180053,99.76899
07/31/2015 00:00:26,1.5625,0,0,1.5625,0.78125,44,46,43,44,44,4090.52832,4090.52832,4090.52832,4090.52832,39.8144073,16.03861,2.68883276,2.51453066,99.76899
07/31/2015 00:00:27,0,0,1.5625,0,0.390625,44,43,43,44,44,4090.52832,4090.52832,4090.52832,4090.52832,39.30274,15.1840286,2.73605156,2.4897058,99.76898
07/31/2015 00:00:28,0,0,0,0,0,43,45,43,44,45,4090.52759,4090.52759,4090.52759,4090.52759,39.633873,15.76783,2.69440842,2.50629377,99.76897
07/31/2015 00:00:29,0,0,0,6.25,1.5625,44,44,42,43,45,4090.52856,4090.52856,4090.52856,4090.52856,40.1182938,16.5666733,2.66917849,2.51150751,99.76899
07/31/2015 00:00:30,0,0,0,0,0,44,45,44,44,46,4090.52759,4090.52759,4090.52759,4090.52759,39.72097,15.9148569,2.68221116,2.50826073,99.76897
07/31/2015 00:00:31,1.5625,0,0,0,0.390625,44,45,42,44,46,4090.52856,4090.52856,4090.52856,4090.52856,39.5078659,15.5845776,2.68889427,2.49752831,99.76899
07/31/2015 00:00:32,0,1.5625,0,0,0.390625,43,44,44,44,46,4090.52856,4090.52856,4090.52856,4090.52856,39.5859222,15.6889887,2.68907642,2.50518918,99.76899
07/31/2015 00:00:33,0,0,0,0,0,43,44,44,44,46,4090.52856,4090.52856,4090.52856,4090.52856,39.3720856,15.3184814,2.71503425,2.48869419,99.76899
07/31/2015 00:00:34,0,0,0,0,0,43,45,42,44,45,4090.52686,4090.52686,4090.52686,4090.52686,39.980896,16.4597244,2.659908,2.509284,99.76895
07/31/2015 00:00:35,1.5625,0,0,3.125,1.171875,43,45,43,45,46,4090.5293,4090.5293,4090.5293,4090.5293,39.7986259,16.117527,2.688111,2.53710532,99.76901
07/31/2015 00:00:36,1.5625,0,0,0,0.390625,44,45,42,45,46,4090.52881,4090.52881,4090.52881,4090.52881,39.715168,15.9893656,2.66089988,2.51459718,99.769
07/31/2015 00:00:37,1.5625,0,0,0,0.390625,43,45,44,45,45,4090.52734,4090.52734,4090.52734,4090.52734,39.44656,15.599287,2.6595974,2.4950974,99.76896
07/31/2015 00:00:38,1.5625,1.5625,1.5625,0,1.171875,44,45,44,45,45,4090.52881,4090.52881,4090.52881,4090.52881,39.82723,16.2716236,2.62334371,2.51820064,99.769
07/31/2015 00:00:39,4.6875,1.5625,3.125,4.6875,3.515625,44,45,44,45,45,4090.52734,4090.52734,4090.52734,4090.52734,40.8176727,17.75638,2.58659172,2.55396676,99.76896
07/31/2015 00:00:40,1.5625,0,1.5625,6.25,2.34375,45,46,43,44,46,4090.5293,4090.5293,4090.5293,4090.5293,41.02066,18.1518841,2.56289887,2.58154917,99.7690048
07/31/2015 00:00:41,0,0,0,1.5625,0.390625,43,44,44,43,45,4090.5293,4090.5293,4090.5293,4090.5293,39.4078636,15.46132,2.66548467,2.4919486,99.7690048
07/31/2015 00:00:42,1.5625,0,0,0,0.390625,44,44,43,44,44,4090.52686,4090.52686,4090.52686,4090.52686,39.56841,15.6964483,2.66459,2.50346184,99.76894
07/31/2015 00:00:43,1.5625,0,0,3.125,1.171875,43,45,44,43,45,4090.52881,4090.52881,4090.52881,4090.52881,39.76174,16.075716,2.685011,2.49888134,99.76899
07/31/2015 00:00:44,0,0,0,1.5625,0.390625,43,45,44,44,46,4090.52686,4090.52686,4090.52686,4090.52686,39.61863,15.695878,2.7171247,2.50760937,99.76895
07/31/2015 00:00:45,1.5625,0,3.125,1.5625,1.5625,44,44,43,43,44,4090.52979,4090.52979,4090.52979,4090.52979,39.76928,15.96886,2.68524075,2.49709678,99.76902
