,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/18/2015 00:00:00,45.3125,42.1875,45.3125,45.3125,44.53125,52,55,52,56,56,4090.53,4090.53,4090.53,4090.53,61.28703,44.4059944,2.10582256,4.219985,99.76902
09/18/2015 00:00:01,42.1875,39.0625,39.0625,32.8125,38.28125,55,55,53,54,55,4090.52979,4090.52979,4090.52979,4090.52979,56.79094,38.6886864,2.274393,4.08854342,99.76902
09/18/2015 00:00:02,32.8125,37.5,26.5625,25,30.46875,55,55,52,54,55,4090.52954,4090.52954,4090.52954,4090.52954,54.292305,35.70514,2.3352654,3.91487479,99.76901
09/18/2015 00:00:03,40.625,35.9375,29.6875,23.4375,32.421875,54,54,53,54,55,4090.52881,4090.52881,4090.52881,4090.52881,55.9454842,37.80657,2.27360129,3.96486115,99.769
09/18/2015 00:00:04,29.6875,43.75,29.6875,14.0625,29.296875,54,54,51,52,54,4090.52979,4090.52979,4090.52979,4090.52979,54.45068,35.97486,2.29785323,3.95048165,99.76902
09/18/2015 00:00:05,37.5,45.3125,25,25,33.203125,54,58,51,54,58,4090.53027,4090.53027,4090.53027,4090.53027,55.3665962,37.117527,2.26654863,4.06342125,99.76903
09/18/2015 00:00:06,39.0625,42.1875,31.25,26.5625,34.765625,57,56,53,56,57,4090.529,4090.529,4090.529,4090.529,56.8341141,38.9858475,2.21931124,4.01733637,99.7690048
09/18/2015 00:00:07,42.1875,40.625,32.8125,20.3125,33.984375,55,53,52,55,55,4090.52856,4090.52856,4090.52856,4090.52856,55.9571381,37.9228554,2.24753666,4.043441,99.76899
09/18/2015 00:00:08,37.5,42.1875,18.75,18.75,29.296875,56,54,53,54,56,4090.53052,4090.53052,4090.53052,4090.53052,54.1163368,35.537323,2.31089687,3.93735337,99.76904
09/18/2015 00:00:09,29.6875,35.9375,31.25,15.625,28.125,51,55,51,55,55,4090.52856,4090.52856,4090.52856,4090.52856,55.16365,36.7347145,2.31106353,3.8882215,99.76899
09/18/2015 00:00:10,25,32.8125,14.0625,14.0625,21.484375,51,53,51,54,54,4090.52979,4090.52979,4090.52979,4090.52979,52.2732849,32.7434654,2.47260118,3.59002733,99.76902
09/18/2015 00:00:11,37.5,31.25,21.875,12.5,25.78125,52,53,53,53,53,4090.52954,4090.52954,4090.52954,4090.52954,53.00838,33.64199,2.44653416,3.65033746,99.76901
09/18/2015 00:00:12,39.0625,42.1875,34.375,34.375,37.5,52,54,52,55,55,4090.5293,4090.5293,4090.5293,4090.5293,57.5705757,39.4527245,2.28620863,3.941232,99.7690048
09/18/2015 00:00:13,34.375,28.125,25,18.75,26.5625,51,54,51,54,54,4090.53052,4090.53052,4090.53052,4090.53052,54.71443,35.79872,2.39411473,3.78265238,99.7690353
09/18/2015 00:00:14,31.25,35.9375,23.4375,15.625,26.5625,51,54,51,55,55,4090.52881,4090.52881,4090.52881,4090.52881,52.6845741,33.2967339,2.45650554,3.63295865,99.769
09/18/2015 00:00:15,35.9375,23.4375,28.125,21.875,27.34375,52,54,52,54,54,4090.52979,4090.52979,4090.52979,4090.52979,54.06412,35.1708755,2.38386345,3.658953,99.76902
09/18/2015 00:00:16,31.25,31.25,23.4375,17.1875,25.78125,56,56,53,56,57,4090.52954,4090.52954,4090.52954,4090.52954,52.9461441,33.6254272,2.45469165,3.65998459,99.76901
09/18/2015 00:00:17,35.9375,32.8125,35.9375,26.5625,32.8125,55,56,51,57,57,4090.52979,4090.52979,4090.52979,4090.52979,59.2480164,41.710598,2.22039628,3.85169029,99.76902
09/18/2015 00:00:18,32.8125,34.375,25,18.75,27.734375,52,54,51,53,54,4090.52881,4090.52881,4090.52881,4090.52881,54.4284554,35.5302162,2.40700364,3.677746,99.769
09/18/2015 00:00:19,32.8125,35.9375,23.4375,18.75,27.734375,51,55,51,54,55,4090.52954,4090.52954,4090.52954,4090.52954,53.0199165,33.746624,2.44396043,3.671945,99.76901
09/18/2015 00:00:20,35.9375,29.6875,23.4375,10.9375,25,51,54,51,53,54,4090.5293,4090.5293,4090.5293,4090.5293,52.5713234,33.1762047,2.452656,3.6342957,99.7690048
09/18/2015 00:00:21,28.125,34.375,21.875,21.875,26.5625,51,53,51,53,53,4090.53,4090.53,4090.53,4090.53,53.4638748,34.31743,2.41430974,3.60975,99.76902
