,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/26/2015 14:11:04,6.25,1.5625,1.5625,1.5625,2.734375,46,46,44,48,48,4090.52563,4090.52563,4090.52563,4090.52563,40.8519821,18.0593548,2.60266447,2.5736177,99.76892
09/26/2015 14:11:05,4.6875,3.125,1.5625,1.5625,2.734375,45,45,44,46,46,4090.52466,4090.52466,4090.52466,4090.52466,41.8417969,19.3986473,2.574807,2.55430365,99.76889
09/26/2015 14:11:06,20.8955231,8.955222,19.4029865,26.8656731,19.02985,49,56,48,55,56,4090.52686,4090.52686,4090.52686,4090.52686,51.1429,32.34923,2.14441872,2.77314878,99.76895
09/26/2015 14:11:07,73.77049,6.557375,9.836065,18.03279,27.0491829,59,49,48,48,59,4090.525,4090.525,4090.525,4090.525,59.0775681,43.5568047,1.77996,2.75550318,99.7689
09/26/2015 14:11:08,85.9375,4.6875,11.1111107,7.8125,27.3871536,60,50,46,49,60,4090.52637,4090.52637,4090.52637,4090.52637,58.35719,42.8541679,1.76417089,2.71827936,99.7689362
09/26/2015 14:11:09,79.6875,9.375,9.230768,6.25,26.1358147,59,50,47,49,59,4090.524,4090.524,4090.524,4090.524,58.5573158,43.0508575,1.78435969,2.72162557,99.7688751
09/26/2015 14:11:10,81.25,4.6875,15.625,7.8125,27.34375,61,51,47,49,61,4090.52686,4090.52686,4090.52686,4090.52686,58.45528,43.0087471,1.78305447,2.722101,99.76895
09/26/2015 14:11:11,84.375,4.6875,9.375,6.25,26.171875,61,51,47,48,61,4090.52612,4090.52612,4090.52612,4090.52612,58.60221,43.1373825,1.78471076,2.71898866,99.76893
09/26/2015 14:11:12,79.6875,4.6875,14.0625,1.5625,25,61,51,47,48,61,4090.52661,4090.52661,4090.52661,4090.52661,58.38041,42.869278,1.78830111,2.70833516,99.76894
