,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/24/2015 21:47:20,39.0625,6.25,20.3125,28.125,23.4375,57,49,44,45,55,4090.524,4090.524,4090.524,4090.524,51.727562,34.4381332,1.92066574,2.73604035,99.7688751
09/24/2015 21:47:21,37.5,32.8125,25,29.6875,31.25,48,57,55,58,57,4090.52783,4090.52783,4090.52783,4090.52783,56.38996,40.4429779,1.76853812,3.03225517,99.76897
09/24/2015 21:47:22,34.375,15.625,20.3125,54.6875,31.25,54,48,46,55,55,4090.52563,4090.52563,4090.52563,4090.52563,58.1728058,42.56171,1.772255,2.86313629,99.76891
09/24/2015 21:47:23,51.5625,3.125,7.8125,48.4375,27.734375,51,48,46,55,55,4090.52539,4090.52539,4090.52539,4090.52539,57.5733337,42.19583,1.74270844,2.66789341,99.76891
09/24/2015 21:47:24,56.25,3.125,1.5625,48.4375,27.34375,55,47,47,50,55,4090.52417,4090.52417,4090.52417,4090.52417,57.71125,42.0351868,1.77455568,2.66338539,99.76888
09/24/2015 21:47:25,45.3125,6.25,3.125,51.5625,26.5625,56,48,46,50,56,4090.52856,4090.52856,4090.52856,4090.52856,57.0570374,41.63953,1.74643052,2.64405465,99.76899
09/24/2015 21:47:26,45.3125,1.5625,1.5625,54.6875,25.78125,55,48,45,49,55,4090.52515,4090.52515,4090.52515,4090.52515,57.33585,41.82015,1.76894212,2.646392,99.7689056
09/24/2015 21:47:27,35.9375,1.5625,3.125,64.0625,26.171875,50,48,46,55,55,4090.52637,4090.52637,4090.52637,4090.52637,57.2893066,41.71201,1.781649,2.65087914,99.7689362
09/24/2015 21:47:28,39.0625,3.125,1.5625,60.9375,26.171875,51,48,47,54,54,4090.52539,4090.52539,4090.52539,4090.52539,57.2667427,41.8025055,1.74809945,2.64469981,99.76891
09/24/2015 21:47:29,40.625,3.125,6.25,60.9375,27.734375,50,48,45,57,57,4090.52612,4090.52612,4090.52612,4090.52612,57.22959,41.69849,1.76683152,2.64539814,99.76893
09/24/2015 21:47:30,46.875,1.5625,6.25,54.6875,27.34375,51,47,46,52,52,4090.526,4090.526,4090.526,4090.526,57.45648,41.821373,1.78074324,2.64551044,99.76892
09/24/2015 21:47:31,39.0625,0,4.6875,59.375,25.78125,50,48,47,56,56,4090.52441,4090.52441,4090.52441,4090.52441,57.310955,41.7136269,1.77126265,2.658176,99.76889
09/24/2015 21:47:32,51.5625,1.5625,1.5625,48.4375,25.78125,50,48,46,56,56,4090.52637,4090.52637,4090.52637,4090.52637,57.5026,41.8276825,1.7820946,2.65286231,99.7689362
09/24/2015 21:47:33,46.875,3.125,3.125,50,25.78125,50,49,46,54,54,4090.52661,4090.52661,4090.52661,4090.52661,57.21673,41.71087,1.75132632,2.64506769,99.76894
09/24/2015 21:47:34,45.3125,0,3.125,56.25,26.171875,49,47,48,58,58,4090.526,4090.526,4090.526,4090.526,57.313324,41.7295876,1.76356351,2.63951039,99.76893
09/24/2015 21:47:35,51.5625,3.125,3.125,46.875,26.171875,52,48,45,53,53,4090.52515,4090.52515,4090.52515,4090.52515,57.2723236,41.7033424,1.75413418,2.64662623,99.7689056
09/24/2015 21:47:36,51.5625,3.125,1.5625,45.3125,25.390625,49,46,47,58,58,4090.52661,4090.52661,4090.52661,4090.52661,56.9789658,41.51293,1.74444818,2.62794375,99.76894
09/24/2015 21:47:37,45.3125,1.5625,3.125,54.6875,26.171875,54,48,46,50,54,4090.52417,4090.52417,4090.52417,4090.52417,57.3007622,41.7146645,1.76112783,2.64669824,99.76888
09/24/2015 21:47:38,46.875,1.5625,3.125,54.6875,26.5625,51,49,46,54,54,4090.52686,4090.52686,4090.52686,4090.52686,57.22055,41.6646461,1.74397373,2.63869786,99.76894
09/24/2015 21:47:39,43.75,3.125,3.125,57.8125,26.953125,51,48,46,53,53,4090.52563,4090.52563,4090.52563,4090.52563,57.1007767,41.5946541,1.73193657,2.63873959,99.76892
09/24/2015 21:47:40,46.875,0,4.6875,59.375,27.734375,52,47,46,51,52,4090.52686,4090.52686,4090.52686,4090.52686,57.62248,41.8588333,1.77127707,2.651744,99.76894
09/24/2015 21:47:41,48.4375,1.5625,3.125,48.4375,25.390625,50,48,46,57,57,4090.52539,4090.52539,4090.52539,4090.52539,56.9695778,41.5955734,1.74091637,2.6378696,99.76891
09/24/2015 21:47:42,53.125,1.5625,1.5625,48.4375,26.171875,50,50,46,55,55,4090.52563,4090.52563,4090.52563,4090.52563,57.65377,41.8642349,1.79394829,2.648744,99.76892
09/24/2015 21:47:43,48.4375,0,3.125,53.125,26.171875,48,48,46,57,57,4090.524,4090.524,4090.524,4090.524,57.32672,41.7577667,1.75530708,2.65052152,99.7688751
09/24/2015 21:47:44,50,12.5,12.5,54.6875,32.421875,50,49,46,56,56,4090.52759,4090.52759,4090.52759,4090.52759,60.49227,45.480423,1.69495249,2.76040745,99.76897
09/24/2015 21:47:45,43.75,3.125,1.5625,53.125,25.390625,50,49,46,55,55,4090.52612,4090.52612,4090.52612,4090.52612,57.8261833,42.08553,1.77809358,2.66804981,99.76893
09/24/2015 21:47:46,53.125,1.5625,4.6875,48.4375,26.953125,47,50,46,58,58,4090.52612,4090.52612,4090.52612,4090.52612,56.8321266,41.50366,1.72869122,2.61841559,99.76893
09/24/2015 21:47:47,48.4375,1.5625,6.25,51.5625,26.953125,50,48,46,54,54,4090.52271,4090.52271,4090.52271,4090.52271,57.2195473,41.6478577,1.75991321,2.63778067,99.7688446
09/24/2015 21:47:48,51.5625,1.5625,3.125,46.875,25.78125,51,49,46,54,54,4090.528,4090.528,4090.528,4090.528,57.26144,41.6496964,1.76679254,2.63684177,99.7689743
09/24/2015 21:47:49,42.1875,1.5625,4.6875,60.9375,27.34375,53,48,46,52,53,4090.52515,4090.52515,4090.52515,4090.52515,56.98514,41.5365944,1.75318348,2.62791586,99.7689056
09/24/2015 21:47:50,48.4375,3.125,3.125,51.5625,26.5625,48,48,49,54,54,4090.52637,4090.52637,4090.52637,4090.52637,56.87101,41.5214767,1.7398243,2.61805415,99.7689362
09/24/2015 21:47:51,43.75,4.6875,1.5625,57.8125,26.953125,54,49,46,51,54,4090.526,4090.526,4090.526,4090.526,57.34292,41.7483139,1.772778,2.64681721,99.76892
09/24/2015 21:47:52,32.8125,1.5625,3.125,68.75,26.5625,50,49,47,57,57,4090.52661,4090.52661,4090.52661,4090.52661,57.3482132,41.60562,1.79562819,2.633649,99.7689362
09/24/2015 21:47:53,71.875,1.5625,7.8125,29.6875,27.734375,54,49,46,50,54,4090.52441,4090.52441,4090.52441,4090.52441,58.1429977,42.22992,1.81133068,2.68307614,99.76889
09/24/2015 21:47:54,43.75,0,4.6875,57.8125,26.5625,50,47,46,54,54,4090.527,4090.527,4090.527,4090.527,57.743576,41.78737,1.811475,2.642711,99.76896
09/24/2015 21:47:55,59.375,1.5625,4.6875,39.0625,26.171875,50,52,46,51,52,4090.52344,4090.52344,4090.52344,4090.52344,57.8927155,42.0112457,1.80624318,2.67121077,99.76887
09/24/2015 21:47:56,71.875,1.5625,4.6875,29.6875,26.953125,48,49,47,56,56,4090.52686,4090.52686,4090.52686,4090.52686,57.8658638,41.9435844,1.79799354,2.65372372,99.76894
09/24/2015 21:47:57,64.0625,0,1.5625,37.5,25.78125,50,49,47,55,55,4090.52612,4090.52612,4090.52612,4090.52612,57.9499168,42.03097,1.80923831,2.66957569,99.76893
09/24/2015 21:47:58,21.875,0,6.25,78.125,26.5625,50,49,46,55,55,4090.526,4090.526,4090.526,4090.526,57.69673,41.7528267,1.81190372,2.63893843,99.76892
09/24/2015 21:47:59,62.5,3.125,6.25,37.5,27.34375,52,49,46,52,52,4090.52661,4090.52661,4090.52661,4090.52661,58.1160851,42.2181435,1.80648708,2.68198776,99.76894
09/24/2015 21:48:00,62.5,4.6875,4.6875,37.5,27.34375,52,49,46,52,52,4090.52563,4090.52563,4090.52563,4090.52563,57.86788,41.9767227,1.79960179,2.66360831,99.76892
09/24/2015 21:48:01,56.25,3.125,4.6875,43.75,26.953125,52,47,48,51,52,4090.52417,4090.52417,4090.52417,4090.52417,58.0382271,42.1596031,1.791661,2.678544,99.76888
09/24/2015 21:48:02,42.1875,0,4.6875,60.9375,26.953125,52,48,47,52,52,4090.527,4090.527,4090.527,4090.527,57.80942,41.9377251,1.79325271,2.64995265,99.76895
09/24/2015 21:48:03,18.75,4.6875,17.1875,6.25,11.71875,44,47,45,46,47,4090.526,4090.526,4090.526,4090.526,47.3948975,26.3852272,2.3927536,2.6866498,99.76892
09/24/2015 21:48:04,0,0,0,1.5625,0.390625,45,45,45,46,46,4090.52612,4090.52612,4090.52612,4090.52612,40.9166527,16.695509,2.73758984,2.50409818,99.76893
09/24/2015 21:48:05,0,1.5625,0,0,0.390625,44,44,45,45,46,4090.52563,4090.52563,4090.52563,4090.52563,40.5505524,16.8228149,2.66405749,2.5308423,99.76891
09/24/2015 21:48:06,1.5625,1.5625,1.5625,1.5625,1.5625,43,44,42,45,45,4090.52734,4090.52734,4090.52734,4090.52734,39.9424057,16.3764076,2.6187675,2.50943732,99.76896
09/24/2015 21:48:07,7.8125,3.125,9.375,0,5.078125,44,44,43,44,44,4090.52661,4090.52661,4090.52661,4090.52661,40.4524841,17.1312523,2.592496,2.5316174,99.76894
