,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/17/2015 19:49:23,1.5625,7.8125,3.125,6.25,4.6875,41,42,41,41,43,4090.52954,4090.52954,4090.52954,4090.52954,40.759697,18.387228,2.32010937,2.56758952,99.76901
09/17/2015 19:49:24,10.9375,32.8125,15.625,7.8125,16.796875,53,46,42,42,53,4090.52783,4090.52783,4090.52783,4090.52783,47.0498,27.58067,2.01572514,2.70703983,99.7689743
09/17/2015 19:49:25,26.5625,14.0625,14.0625,39.0625,23.4375,51,44,42,46,51,4090.53076,4090.53076,4090.53076,4090.53076,49.9078331,31.8221378,1.89795911,2.89287186,99.76904
09/17/2015 19:49:26,46.875,9.375,12.5,59.375,32.03125,51,45,42,50,51,4090.53,4090.53,4090.53,4090.53,57.7463951,43.0408669,1.54530823,2.73304272,99.76903
09/17/2015 19:49:27,53.125,6.25,0,46.875,26.5625,50,45,43,49,50,4090.5293,4090.5293,4090.5293,4090.5293,55.0063171,39.9899368,1.57050729,2.60797834,99.7690048
09/17/2015 19:49:28,64.0625,4.6875,1.5625,43.75,28.515625,51,44,42,48,51,4090.52856,4090.52856,4090.52856,4090.52856,55.52499,40.5840263,1.57545745,2.65216374,99.76899
09/17/2015 19:49:29,56.25,4.6875,1.5625,50,28.125,45,44,43,55,52,4090.52979,4090.52979,4090.52979,4090.52979,56.4730453,41.72024,1.54542744,2.64939666,99.76902
09/17/2015 19:49:30,56.25,3.125,1.5625,53.125,28.515625,53,44,44,55,53,4090.529,4090.529,4090.529,4090.529,55.5839577,40.5549164,1.5796591,2.63796377,99.7690048
09/17/2015 19:49:31,56.25,6.25,1.5625,46.875,27.734375,53,45,42,50,50,4090.52954,4090.52954,4090.52954,4090.52954,55.3764572,40.2981339,1.58478677,2.621397,99.76901
09/17/2015 19:49:32,46.875,3.125,6.25,54.6875,27.734375,45,43,42,52,52,4090.52979,4090.52979,4090.52979,4090.52979,56.38163,41.254818,1.60336459,2.656225,99.76902
09/17/2015 19:49:33,42.1875,0,4.6875,40.625,21.875,43,42,50,46,50,4090.53052,4090.53052,4090.53052,4090.53052,52.3271065,35.5357628,1.78789091,2.67164278,99.7690353
09/17/2015 19:49:34,3.125,3.125,9.375,4.6875,5.078125,42,42,40,42,43,4090.52979,4090.52979,4090.52979,4090.52979,43.40301,21.2019615,2.35669374,2.65050983,99.76902
09/17/2015 19:49:35,0,3.125,6.25,1.5625,2.734375,41,41,41,42,43,4090.52783,4090.52783,4090.52783,4090.52783,40.98952,17.2598877,2.47330666,2.532368,99.7689743
09/17/2015 19:49:36,3.125,0,0,0,0.78125,41,41,40,40,42,4090.53076,4090.53076,4090.53076,4090.53076,39.43786,14.916132,2.53927732,2.498404,99.76904
09/17/2015 19:49:37,0,1.5625,1.5625,3.125,1.5625,41,41,40,41,43,4090.5293,4090.5293,4090.5293,4090.5293,39.4794273,15.80173,2.44572258,2.52468,99.7690048
09/17/2015 19:49:38,6.25,1.5625,4.6875,10.9375,5.859375,41,43,42,45,45,4090.529,4090.529,4090.529,4090.529,40.9259949,18.5477314,2.30825615,2.57969737,99.769
09/17/2015 19:49:39,9.375,10.9375,20.3125,10.9375,12.890625,41,42,40,41,42,4090.53052,4090.53052,4090.53052,4090.53052,45.78919,25.5053387,2.09110665,2.74003935,99.7690353
09/17/2015 19:49:40,9.375,9.375,7.8125,10.9375,9.375,43,44,42,46,46,4090.529,4090.529,4090.529,4090.529,42.31668,20.8285179,2.219721,2.66602135,99.769
09/17/2015 19:49:41,3.125,12.5,3.125,7.8125,6.640625,42,42,41,42,42,4090.529,4090.529,4090.529,4090.529,42.0502319,20.3082886,2.26404762,2.61794877,99.769
09/17/2015 19:49:42,0,1.5625,4.6875,1.5625,1.953125,41,43,41,41,43,4090.5293,4090.5293,4090.5293,4090.5293,39.78865,16.8077984,2.37833762,2.551408,99.76901
09/17/2015 19:49:43,1.5625,12.5,1.5625,4.6875,5.078125,41,42,41,42,42,4090.52954,4090.52954,4090.52954,4090.52954,41.9490547,20.56633,2.19640875,2.58512235,99.76901
09/17/2015 19:49:44,3.125,4.6875,4.6875,6.25,4.6875,41,42,41,43,43,4090.52954,4090.52954,4090.52954,4090.52954,41.242157,18.8557262,2.29669714,2.57671714,99.76901
09/17/2015 19:49:45,0,0,1.5625,0,0.390625,41,41,41,42,42,4090.52954,4090.52954,4090.52954,4090.52954,38.5234642,14.8032894,2.437987,2.50721216,99.76901
09/17/2015 19:49:46,0,9.375,6.25,3.125,4.6875,41,42,40,42,44,4090.52979,4090.52979,4090.52979,4090.52979,40.7438,18.2925453,2.3101356,2.59851265,99.76902
09/17/2015 19:49:47,10.9375,17.1875,17.1875,14.0625,14.84375,42,42,43,43,44,4090.52979,4090.52979,4090.52979,4090.52979,45.1862,24.8483562,2.08925557,2.73235059,99.76902
09/17/2015 19:49:48,1.5625,3.125,1.5625,7.8125,3.515625,40,42,41,42,43,4090.52954,4090.52954,4090.52954,4090.52954,40.3971634,17.97567,2.31410527,2.59341288,99.76901
09/17/2015 19:49:49,1.5625,1.5625,3.125,3.125,2.34375,41,41,41,42,42,4090.53,4090.53,4090.53,4090.53,39.80665,16.8495884,2.364576,2.56524634,99.76902
09/17/2015 19:49:50,3.125,1.5625,4.76190472,4.6875,3.53422761,41,41,41,42,43,4090.52881,4090.52881,4090.52881,4090.52881,40.24451,17.4197178,2.33754444,2.5377028,99.769
09/17/2015 19:49:51,0,1.5625,3.125,0,1.171875,41,42,41,41,43,4090.529,4090.529,4090.529,4090.529,39.0987663,15.8397713,2.40144014,2.51195669,99.769
09/17/2015 19:49:52,0,1.5625,4.615384,3.125,2.32571959,40,41,40,41,42,4090.52881,4090.52881,4090.52881,4090.52881,38.9837151,15.5847111,2.414239,2.524627,99.769
09/17/2015 19:49:53,4.6875,3.125,6.25,9.375,5.859375,41,42,40,42,43,4090.53052,4090.53052,4090.53052,4090.53052,40.29448,17.61018,2.32822275,2.54875469,99.7690353
09/17/2015 19:49:54,1.5625,0,6.349206,1.5625,2.36855149,42,41,40,41,42,4090.53,4090.53,4090.53,4090.53,38.5675354,14.844,2.42413354,2.509207,99.76903
09/17/2015 19:49:55,0,1.53846145,0,0,0.384616852,41,42,40,41,42,4090.52979,4090.52979,4090.52979,4090.52979,38.37099,14.5110092,2.44358873,2.49846315,99.76902
09/17/2015 19:49:56,3.125,3.125,6.25,3.125,3.90625,40,42,41,42,42,4090.52856,4090.52856,4090.52856,4090.52856,39.94194,16.92003,2.35503316,2.53449678,99.76899
09/17/2015 19:49:57,1.5625,3.125,0,3.125,1.953125,41,42,41,42,43,4090.53027,4090.53027,4090.53027,4090.53027,39.3503075,16.2989616,2.359832,2.54152632,99.7690353
09/17/2015 19:49:58,1.5625,0,4.6875,0,1.5625,48,42,41,42,48,4090.528,4090.528,4090.528,4090.528,38.46376,14.6281729,2.46124339,2.49571276,99.76898
09/17/2015 19:49:59,6.25,7.8125,4.6875,4.6875,5.859375,43,49,42,43,49,4090.528,4090.528,4090.528,4090.528,41.3323631,19.034832,2.28130674,2.586004,99.76898
09/17/2015 19:50:00,1.5625,0,1.5625,1.5625,1.171875,40,42,41,41,42,4090.528,4090.528,4090.528,4090.528,39.19273,15.9413729,2.394792,2.524628,99.76898
09/17/2015 19:50:01,3.125,6.25,6.25,4.6875,5.078125,42,42,41,43,43,4090.52979,4090.52979,4090.52979,4090.52979,40.181118,17.4707317,2.31289124,2.538893,99.76902
09/17/2015 19:50:02,4.6875,6.25,7.8125,9.375,7.03125,41,42,40,42,43,4090.52979,4090.52979,4090.52979,4090.52979,41.063694,18.5926628,2.29942322,2.5592227,99.76902
09/17/2015 19:50:03,1.5625,14.0625,87.5,7.8125,27.734375,42,45,47,51,51,4090.5293,4090.5293,4090.5293,4090.5293,53.117588,37.4382477,1.587115,2.71969676,99.7690048
09/17/2015 19:50:04,1.5625,0,3.125,4.6875,2.34375,41,42,40,41,43,4090.53027,4090.53027,4090.53027,4090.53027,39.6425552,16.5428486,2.398794,2.552769,99.7690353
09/17/2015 19:50:05,3.125,6.25,3.125,6.25,4.6875,41,43,42,42,43,4090.5293,4090.5293,4090.5293,4090.5293,40.50028,17.76947,2.32877851,2.54149961,99.76901
09/17/2015 19:50:06,6.25,4.6875,4.6875,3.125,4.6875,40,42,41,42,42,4090.52881,4090.52881,4090.52881,4090.52881,39.65555,16.5153217,2.37351537,2.55511427,99.769
09/17/2015 19:50:07,0,0,0,1.5625,0.390625,41,41,41,41,43,4090.52954,4090.52954,4090.52954,4090.52954,38.57771,14.8341541,2.44881654,2.50184083,99.76901
