,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed"
09/25/2015 21:53:28,13.7645683,8.461538,11.5384617,43.0769234,19.2103729,55,57,55,64,2926.051,2926.051,2926.051,2926.051,133.002319
09/25/2015 21:53:33,0,1.53846157,28.4615383,21.5384617,12.8846149,55,58,55,67,2926.05249,2926.05249,2926.05249,2926.05249,133.00238
09/25/2015 21:53:38,4.61538458,0,16.1538467,32.3076935,13.2692308,56,58,56,68,2926.05151,2926.05151,2926.05151,2926.05151,133.002335
09/25/2015 21:53:43,16.1538467,8.461538,14.6153851,31.5384617,17.6923084,57,58,59,62,2926.05176,2926.05176,2926.05176,2926.05176,133.00235
09/25/2015 21:53:48,3.07692313,0.7692308,24.6153851,23.8461533,13.0769234,57,59,56,67,2926.05151,2926.05151,2926.05151,2926.05151,133.00235
09/25/2015 21:53:53,1.53846157,5.38461542,10.7692308,4.61538458,5.576923,54,54,54,54,1197.02026,1197.02026,1197.02026,1197.02026,133.002258
09/25/2015 21:53:58,3.07692313,10,10,6.923077,7.5,52,52,52,51,1197.02136,1197.02136,1197.02136,1197.02136,133.002365
09/25/2015 21:54:03,0,0,0,0.7692308,0.1923077,52,51,52,49,1197.02148,1197.02148,1197.02148,1197.02148,133.00238
09/25/2015 21:54:08,0,1.53846157,0.7692308,0.7692308,0.7692308,50,50,53,50,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:54:14,3.07692313,10.7692308,4.61538458,7.69230747,6.53846169,51,51,51,49,1197.02039,1197.02039,1197.02039,1197.02039,133.002274
09/25/2015 21:54:19,0,0.7692308,0,0.7692308,0.3846154,51,50,51,49,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 21:54:24,0,0,0,0.7692308,0.1923077,51,50,52,50,1197.02124,1197.02124,1197.02124,1197.02124,133.00235
09/25/2015 21:54:29,10,3.84615374,5.38461542,3.07692313,5.576923,51,50,52,50,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
