,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/06/2015 16:03:54,0,0,0,1.5625,0.390625,48,51,49,51,51,4090.52856,4090.52856,4090.52856,4090.52856,41.01831,18.00066,2.89678574,2.516092,99.76899
09/06/2015 16:03:55,0,0,1.5625,1.5625,0.78125,49,50,48,50,51,4090.53027,4090.53027,4090.53027,4090.53027,40.8427849,17.6115532,2.92062449,2.51454258,99.7690353
09/06/2015 16:03:56,0,0,0,0,0,49,50,48,51,51,4090.529,4090.529,4090.529,4090.529,40.9709969,17.7000923,2.935658,2.510529,99.7690048
09/06/2015 16:03:57,0,1.53846145,0,0,0.384616852,49,50,49,51,51,4090.5293,4090.5293,4090.5293,4090.5293,40.83152,17.53904,2.91872358,2.50675535,99.7690048
09/06/2015 16:03:58,1.5625,0,4.6875,0,1.5625,49,49,48,51,51,4090.5293,4090.5293,4090.5293,4090.5293,42.51688,20.2050037,2.79627752,2.56731176,99.7690048
09/06/2015 16:03:59,17.1875,17.1875,15.625,29.6875,19.921875,60,52,51,55,59,4090.53,4090.53,4090.53,4090.53,51.5610352,32.749073,2.36023355,2.8041842,99.76902
09/06/2015 16:04:00,37.5,4.6875,7.8125,57.8125,26.953125,57,53,51,58,58,4090.52856,4090.52856,4090.52856,4090.52856,58.6954041,43.43784,1.91886353,2.67971182,99.76899
09/06/2015 16:04:01,40.625,1.5625,0,60.9375,25.78125,57,53,50,59,59,4090.52686,4090.52686,4090.52686,4090.52686,58.31637,42.9221573,1.94600058,2.63372159,99.76894
09/06/2015 16:04:02,45.3125,0,0,56.25,25.390625,56,54,52,58,58,4090.53223,4090.53223,4090.53223,4090.53223,58.30629,42.82128,1.973349,2.62227941,99.76907
09/06/2015 16:04:03,40.625,4.6875,1.5625,56.25,25.78125,56,54,52,60,60,4090.53,4090.53,4090.53,4090.53,58.62108,43.1644821,1.97252285,2.6421864,99.76903
09/06/2015 16:04:04,43.75,4.6875,0,60.9375,27.34375,59,54,52,56,59,4090.529,4090.529,4090.529,4090.529,58.3329926,42.84912,1.981159,2.62123513,99.769
09/06/2015 16:04:05,46.875,3.125,3.125,53.125,26.5625,60,53,51,56,60,4090.52954,4090.52954,4090.52954,4090.52954,58.73667,43.2740631,1.97298324,2.658912,99.76901
09/06/2015 16:04:06,48.4375,3.125,3.125,53.125,26.953125,59,61,52,60,61,4090.5293,4090.5293,4090.5293,4090.5293,58.9290466,43.51305,1.96954477,2.64595461,99.7690048
09/06/2015 16:04:07,51.5625,20.3125,7.8125,60.9375,35.15625,61,54,51,56,61,4090.53,4090.53,4090.53,4090.53,62.5077438,47.5900421,1.91308928,2.90544152,99.76903
09/06/2015 16:04:08,42.1875,0,1.5625,57.8125,25.390625,60,52,51,56,58,4090.53027,4090.53027,4090.53027,4090.53027,58.3397064,42.8425331,1.986301,2.61536646,99.7690353
09/06/2015 16:04:09,45.3125,0,0,54.6875,25,52,53,53,62,62,4090.52881,4090.52881,4090.52881,4090.52881,58.37401,42.8060875,1.98654449,2.63310266,99.769
09/06/2015 16:04:10,48.4375,1.5625,0,51.5625,25.390625,61,54,51,57,61,4090.529,4090.529,4090.529,4090.529,58.41723,42.942234,1.966869,2.61771321,99.7690048
09/06/2015 16:04:11,43.75,0,0,56.25,25,52,58,52,58,58,4090.529,4090.529,4090.529,4090.529,58.365757,42.92953,1.959429,2.62459946,99.769
09/06/2015 16:04:12,43.75,0,0,56.25,25,60,53,50,56,61,4090.53027,4090.53027,4090.53027,4090.53027,58.3749123,42.8972778,1.96643543,2.61550975,99.7690353
09/06/2015 16:04:13,54.6875,1.5625,0,45.3125,25.390625,59,53,51,55,60,4090.529,4090.529,4090.529,4090.529,58.38409,42.92779,1.96283925,2.62563419,99.7690048
09/06/2015 16:04:14,42.1875,3.125,0,59.375,26.171875,53,54,51,63,63,4090.5293,4090.5293,4090.5293,4090.5293,58.3622742,42.870636,1.9744612,2.61898136,99.7690048
09/06/2015 16:04:15,40.625,4.6875,0,56.25,25.390625,58,53,51,57,58,4090.52979,4090.52979,4090.52979,4090.52979,58.561985,43.08909,1.97372341,2.63031363,99.76902
09/06/2015 16:04:16,46.875,4.6875,1.5625,53.125,26.5625,53,54,51,60,60,4090.53052,4090.53052,4090.53052,4090.53052,58.4158554,42.9153938,1.99092185,2.62017679,99.7690353
09/06/2015 16:04:17,46.875,1.5625,1.5625,53.125,25.78125,59,54,51,56,59,4090.5293,4090.5293,4090.5293,4090.5293,58.4753952,43.0007,1.96766627,2.62659812,99.7690048
09/06/2015 16:04:18,50,21.875,15.625,53.125,35.15625,54,54,54,61,61,4090.529,4090.529,4090.529,4090.529,62.7945671,47.88844,1.90102184,2.80843544,99.7690048
09/06/2015 16:04:19,40.625,3.125,1.5625,59.375,26.171875,54,53,51,62,62,4090.5293,4090.5293,4090.5293,4090.5293,58.9381332,43.5039,1.97037172,2.64734054,99.76901
09/06/2015 16:04:20,37.5,3.125,1.5625,62.5,26.171875,61,52,52,56,62,4090.528,4090.528,4090.528,4090.528,58.38264,42.8809662,1.97882378,2.61687279,99.7689743
09/06/2015 16:04:21,46.875,0,3.125,59.375,27.34375,55,55,52,62,62,4090.53174,4090.53174,4090.53174,4090.53174,59.51572,44.170433,1.96293712,2.69176221,99.7690659
09/06/2015 16:04:22,42.1875,1.5625,1.5625,56.25,25.390625,59,53,52,57,59,4090.52856,4090.52856,4090.52856,4090.52856,58.3831367,42.89847,1.979403,2.62305,99.76899
09/06/2015 16:04:23,46.875,1.5625,1.5625,54.6875,26.171875,59,53,52,57,59,4090.52979,4090.52979,4090.52979,4090.52979,58.4666824,42.9774857,1.9742527,2.62560272,99.76902
09/06/2015 16:04:24,40.625,1.5625,1.5625,57.8125,25.390625,57,53,51,60,60,4090.52954,4090.52954,4090.52954,4090.52954,58.3284,42.8383179,1.97725034,2.61584115,99.76901
09/06/2015 16:04:25,46.875,1.5625,1.5625,53.125,25.78125,59,53,51,56,59,4090.52979,4090.52979,4090.52979,4090.52979,58.5936,43.0469055,1.98682606,2.63737655,99.76902
09/06/2015 16:04:26,37.5,1.5625,4.6875,64.0625,26.953125,53,53,51,62,62,4090.528,4090.528,4090.528,4090.528,58.6228,42.9874649,1.999294,2.628608,99.7689743
09/06/2015 16:04:27,51.5625,0,4.6875,48.4375,26.171875,58,53,51,58,58,4090.53052,4090.53052,4090.53052,4090.53052,58.5784645,42.9746475,1.99343538,2.6202035,99.7690353
09/06/2015 16:04:28,45.3125,0,3.125,54.6875,25.78125,59,54,51,58,59,4090.5293,4090.5293,4090.5293,4090.5293,58.6098366,42.9993324,1.99038124,2.62291741,99.7690048
09/06/2015 16:04:29,37.5,1.5625,3.125,60.9375,25.78125,58,53,51,59,59,4090.53,4090.53,4090.53,4090.53,58.78597,43.1651726,1.98759258,2.63940382,99.76902
09/06/2015 16:04:30,53.125,0,3.125,46.875,25.78125,59,53,52,57,59,4090.5293,4090.5293,4090.5293,4090.5293,58.6315536,43.02131,1.99225593,2.62386084,99.7690048
09/06/2015 16:04:31,35.9375,1.5625,1.5625,64.0625,25.78125,59,54,52,57,59,4090.529,4090.529,4090.529,4090.529,58.74912,43.11488,2.00961113,2.63670182,99.769
09/06/2015 16:04:32,40.625,0,4.6875,59.375,26.171875,55,54,51,60,60,4090.5293,4090.5293,4090.5293,4090.5293,58.6296043,42.9722633,2.01377583,2.62314987,99.7690048
09/06/2015 16:04:33,40.625,0,4.6875,59.375,26.171875,60,53,52,56,60,4090.53076,4090.53076,4090.53076,4090.53076,58.79546,43.17063,2.009919,2.64019728,99.76904
09/06/2015 16:04:34,50,0,4.6875,50,26.171875,53,54,51,62,62,4090.52954,4090.52954,4090.52954,4090.52954,58.77964,43.05858,2.02763,2.62949729,99.76901
09/06/2015 16:04:35,50,7.8125,9.375,51.5625,29.6875,58,56,56,62,62,4090.52979,4090.52979,4090.52979,4090.52979,59.64964,44.0345459,2.00286341,2.67750216,99.76901
09/06/2015 16:04:36,53.125,4.6875,6.25,46.875,27.734375,60,54,52,60,60,4090.52881,4090.52881,4090.52881,4090.52881,59.2121925,43.5511131,2.017758,2.66833687,99.76899
09/06/2015 16:04:37,43.75,1.5625,6.25,54.6875,26.5625,62,53,51,56,63,4090.53027,4090.53027,4090.53027,4090.53027,58.91396,43.2151222,2.02788758,2.64059973,99.7690353
09/06/2015 16:04:38,51.5625,0,3.125,50,26.171875,61,54,52,63,61,4090.52832,4090.52832,4090.52832,4090.52832,58.92168,43.2467651,2.02044678,2.64083743,99.76899
09/06/2015 16:04:39,53.125,3.125,4.6875,48.4375,27.34375,53,53,51,62,61,4090.529,4090.529,4090.529,4090.529,59.0606575,43.3771324,2.0213685,2.654796,99.769
09/06/2015 16:04:40,46.875,3.125,4.6875,54.6875,27.34375,55,53,51,62,61,4090.52954,4090.52954,4090.52954,4090.52954,58.894516,43.1826935,2.0423882,2.63718653,99.76901
09/06/2015 16:04:41,53.125,3.125,3.125,50,27.34375,61,53,51,62,61,4090.532,4090.532,4090.532,4090.532,58.94024,43.21556,2.03675437,2.63954687,99.76907
09/06/2015 16:04:42,53.125,0,1.5625,48.4375,25.78125,55,54,51,62,61,4090.528,4090.528,4090.528,4090.528,58.75326,43.0157776,2.03956461,2.62632084,99.76898
09/06/2015 16:04:43,46.875,0,3.125,53.125,25.78125,55,54,51,62,60,4090.52979,4090.52979,4090.52979,4090.52979,58.8253136,43.1018181,2.022025,2.63186216,99.76902
09/06/2015 16:04:44,45.3125,1.5625,3.125,42.1875,23.046875,50,52,51,52,52,4090.5293,4090.5293,4090.5293,4090.5293,56.97194,40.3890648,2.15321684,2.63032222,99.76901
09/06/2015 16:04:45,7.8125,3.125,18.75,4.6875,8.59375,50,51,50,52,52,4090.53052,4090.53052,4090.53052,4090.53052,46.08758,24.4450378,2.8106184,2.66124582,99.7690353
09/06/2015 16:04:46,1.5625,0,0,1.5625,0.78125,50,51,49,52,52,4090.529,4090.529,4090.529,4090.529,42.53682,19.2174911,2.99669552,2.5237,99.7690048
